TIME,HV,SPREAD,CORRECT,TOTAL,%CORRECT,OBJ1-MEAN,OBJ1-STDEV,OBJ2-MEAN,OBJ2-STDEV,OBJ3-MEAN,OBJ3-STDEV,OBJ4-MEAN,OBJ4-STDEV,OBJ5-MEAN,OBJ5-STDEV
18000,0.0,0.9491554654538655,0,296,0.0,3666.560810810811,186.47591418817487,3428.527027027027,99.07916885991847,1661.5202702702702,62.54414328605368,8469.756756756757,324.2984865834131,33400.60852240319,1037.0535727535685,
19000,0.0,0.983741280458957,0,297,0.0,3656.7744107744106,186.07042117100139,3427.6094276094277,100.68216305909517,1662.2154882154882,62.72563872437786,8467.212121212122,330.47102205599344,33408.028843673645,1047.0660425699884,
20000,0.0,1.022347440824173,0,296,0.0,3650.7972972972975,185.24767786630295,3427.4527027027025,101.35659783717996,1661.5101351351352,62.371759505128,8469.18581081081,332.7523873470382,33408.180210974555,1050.8917637166294,
30000,0.0,0.9340190737165697,0,293,0.0,3553.938566552901,161.39395861620324,3421.645051194539,101.96420916141139,1663.7986348122868,68.07712749696958,8470.412969283276,378.36221080093753,33435.22482883907,1051.6762821122743,
40000,0.0018461597803060385,1.0617137583054321,0,291,0.0,3475.1993127147766,181.90419327814766,3423.962199312715,118.37073486936517,1651.704467353952,73.76997275576555,8494.443298969072,419.28412159303696,33332.57919281762,1226.6147915198403,
50000,0.01114342950391113,1.0745390298649269,0,297,0.0,3375.979797979798,200.64869444324165,3417.289562289562,133.11101538305064,1654.003367003367,85.62090505596564,8497.40404040404,452.0025979304365,33377.564873422445,1393.7261003283545,
60000,0.025406428897936807,1.0651312274232478,0,293,0.0,3325.976109215017,245.91937156960495,3421.778156996587,158.39882032566527,1645.1501706484642,94.12078131889949,8488.0,514.1760764005479,33258.377266695454,1643.774788557303,
70000,0.040112533191248835,1.1305868182606698,0,295,0.0,3279.6101694915255,268.03618633445194,3429.0101694915256,177.18676318823543,1637.786440677966,104.07874375150077,8462.030508474576,547.3192069747511,33141.54757326677,1789.6930302136273,
80000,0.06368166900622935,1.1555842861462344,0,296,0.0,3190.3277027027025,252.51860523398477,3407.3614864864867,184.20360284341092,1642.1486486486488,102.68732815220541,8531.804054054053,588.5999898841934,33265.11997058538,1891.8389370242537,
90000,0.08394963071347139,1.1180092459105295,0,293,0.0,3165.003412969283,287.66309810058965,3416.795221843003,203.66044243629312,1631.2525597269625,109.2141227565774,8523.897610921502,677.4889466204796,33144.203354924015,2093.0511294464322,
100000,0.10116732823115235,1.1856879338137722,0,298,0.0,3134.6409395973155,297.16619409776985,3422.4026845637586,213.6010180034777,1615.4597315436242,113.8119256436683,8553.959731543624,723.93370677243,33033.48425798428,2175.1132493260707,
110000,0.11809730999801812,1.2044494306371145,0,299,0.0,3105.6889632107022,311.34772349955693,3421.401337792642,228.43436766970612,1609.0735785953177,123.28663045276922,8562.204013377926,759.5701489799022,33034.19343695489,2316.5497267102983,
120000,0.13179825285391653,1.1814471170238678,0,297,0.0,3077.9124579124577,334.9869876557482,3421.4680134680134,245.31234776659883,1603.8114478114478,132.0675707202604,8574.62962962963,809.1454844552617,32999.98208998865,2489.024894004714,
180000,0.20642768180800503,1.258094270479847,0,298,0.0,2988.3859060402683,436.3339749019199,3427.473154362416,338.1898829508629,1580.244966442953,187.66371034209382,8558.694630872484,1075.5291334114618,32810.99585388483,3483.687115352124,
240000,0.2594935282012283,1.284223488879741,0,297,0.0,2965.6296296296296,514.5713238585816,3458.6666666666665,396.7740284212537,1563.2760942760942,225.057114788073,8415.329966329966,1287.8539292070634,32370.66318775361,4056.051873987807,
300000,0.28698944758064004,1.197207817126778,0,297,0.0,2910.2626262626263,581.6840914155183,3439.127946127946,462.9722782533908,1559.4882154882155,261.8969276316087,8481.164983164983,1493.0762866298492,32501.58994466109,4755.26203055623,
360000,0.31582805317707574,1.1855882917059204,0,297,0.0,2878.020202020202,643.6803792009737,3434.2491582491584,515.4565612538996,1561.3905723905723,295.39401691805733,8446.93265993266,1642.2019489869574,32503.844554331667,5274.0350903494955,
420000,0.33823342878608426,1.181534300671419,0,294,0.0,2818.4931972789113,668.9320798890897,3406.316326530612,551.9983411614649,1572.812925170068,317.778560167812,8491.908163265307,1774.4413651154214,32724.76312732243,5648.979948902157,
480000,0.3265759378679878,1.2486284296567087,0,297,0.0,2802.4074074074074,709.8241156065675,3411.4276094276092,587.3655923151267,1573.7542087542088,343.20857327847847,8430.390572390572,1881.3467673188318,32630.793636963725,6018.556053647298,
540000,0.38795420288191096,1.243338927159381,0,299,0.0,2788.180602006689,747.5379661670542,3409.9799331103677,621.1815041803653,1572.9464882943143,365.0656382260871,8411.163879598662,1988.1010577817326,32603.953696023455,6369.689573636022,
600000,0.39980177854878574,1.1928005643808688,0,297,0.0,2797.6195286195284,789.3504639289374,3429.6296296296296,652.3502685879718,1566.2356902356903,385.78741682706453,8324.89898989899,2060.7841263427335,32370.221637047136,6679.385078194389,
1200000,0.5042777117065627,1.1596302571620076,0,298,0.0,2681.8020134228186,987.2999029601935,3394.473154362416,842.6253402577047,1578.9463087248323,503.77873838767255,8243.463087248321,2679.708889386852,32501.938748296856,8623.31380726089,
1800000,0.5365202355488986,1.1033147058822939,0,296,0.0,2640.824324324324,1093.7173854054154,3393.75,941.8647287321729,1583.3006756756756,561.1413990513205,8149.516891891892,3021.719506628914,32361.026050554254,9640.17949246807,
2400000,0.5734467944014325,1.1324885533799316,0,297,0.0,2578.084175084175,1122.1191965344203,3372.909090909091,985.3493365136349,1572.1784511784513,588.4796010758992,8241.239057239058,3223.0892640650054,32502.20711591909,10061.975390106112,
3000000,0.6800922217261243,1.0735752321013357,0,299,0.0,2571.695652173913,1183.2525115268543,3384.792642140468,1038.6209134322164,1560.7090301003345,616.6795585053258,8213.284280936456,3401.9608023102287,32338.302825315237,10597.660469733944,
