TIME,HV,SPREAD,CORRECT,TOTAL,%CORRECT,OBJ1-MEAN,OBJ1-STDEV,OBJ2-MEAN,OBJ2-STDEV,OBJ3-MEAN,OBJ3-STDEV,OBJ4-MEAN,OBJ4-STDEV,OBJ5-MEAN,OBJ5-STDEV
180000,0.0,1.0736231530976272,0,298,0.0,6620.640939597315,437.014645756671,7593.916107382551,275.4128743383113,3640.9463087248323,158.07350194316518,18052.22147651007,861.069939599009,72680.69438156058,2879.169942134615,
240000,0.0,1.1025271067105766,0,300,0.0,6423.333333333333,516.3827994381259,7595.03,337.6096302437674,3626.4966666666664,191.7917012165948,18015.766666666666,1074.3530016815805,72518.95438851854,3548.0708013476046,
300000,0.0,1.1495064622301012,0,298,0.0,6285.392617449665,605.6113142704185,7602.791946308725,404.19717055765733,3611.1107382550335,239.49542418768158,17983.177852348992,1251.4709889381284,72378.18294715622,4180.8240250578,
360000,0.0,1.1476793255796178,0,300,0.0,6164.84,640.9152578409515,7609.706666666667,452.2655863784269,3608.5866666666666,269.9404301363955,17887.006666666668,1399.3966247239875,72172.83587938553,4643.040429833708,
420000,0.0,1.1357066147346935,0,298,0.0,5995.322147651007,649.1917511628885,7558.7885906040265,487.99947629389334,3628.1140939597317,296.9884758164924,18000.78187919463,1501.2110847178321,72648.37707694617,5039.264901969832,
480000,0.0,1.2139507199310986,0,299,0.0,5882.107023411371,689.3884512424943,7526.284280936455,535.8093644545531,3643.9163879598664,324.6488347718589,18040.558528428093,1674.6675921606914,72940.06855474476,5548.674181379308,
540000,0.0,1.121343176859912,0,300,0.0,5804.88,721.5865983604,7515.453333333333,564.0925761689201,3644.1666666666665,348.37849946414434,18048.15,1805.4566645311652,73032.37443782984,5848.302556649071,
600000,0.0,1.1509510439566224,0,300,0.0,5739.453333333333,759.4572762762165,7511.576666666667,611.3546522182427,3635.4066666666668,371.4887274497333,18079.0,1993.6241421090385,73093.5926460029,6339.980968479723,
1200000,0.0,1.2758551180653623,0,299,0.0,5338.95652173913,1013.508140380728,7487.4481605351175,867.3423790502897,3618.217391304348,510.8580651946936,17997.638795986622,2829.427252742463,72957.0547461256,9175.02544777681,
1800000,0.0,1.1930916673843226,0,299,0.0,5182.190635451505,1185.5998469563588,7492.344481605352,1024.9821656306274,3597.8361204013377,597.1346883406885,17920.120401337794,3329.730671797276,72634.45917358274,10812.87948245852,
2400000,0.0,1.2376505319327866,0,300,0.0,5046.596666666666,1264.6162187223267,7485.656666666667,1128.607445241948,3577.62,661.2146920126117,17940.68666666667,3601.3025433152497,72541.62013619066,11881.988214160396,
3000000,0.0,1.2032143106939663,0,299,0.0,4955.371237458194,1345.879950855893,7484.2307692307695,1224.096725303768,3558.6923076923076,714.8915292801285,17992.270903010034,3907.477655592249,72492.9212986077,12841.798751415972,
