CmV;Chi;Euc
0,05371557;0,05371557;0,000195383
0,5624609;0,05371557;0,00255258
0,2424351;0,02162603;9,59E-05
0,3306962;0,05371557;0,00255258
0,05371557;0,0814096;4,57E-05
0,3306962;0,004533031;0,000387148
0,9219575;0,0345318;9,55E-06
0,821939;0,0345318;0,000195383
0,821939;0,0345318;0,000195383
0,4382623;0,004533031;0,00139901
0,1202207;0,0345318;0,000746139
0,1729796;0,01319189;0,000387148
0,0814096;0,0814096;0,00139901
0,3306962;0,0345318;4,57E-05
0,821939;0,05371557;0,000387148
0,3306962;0,0814096;9,59E-05
0,1202207;0,02162603;9,55E-06
0,2424351;0,02162603;4,18E-06
0,1202207;0,0345318;7,32E-07
0,3306962;0,0345318;7,32E-07
0,821939;0,02162603;7,32E-07
0,2424351;0,0814096;1,78E-06
0,4382623;0,004533031;7,32E-07
0,0814096;0,02162603;7,32E-07
0,821939;0,0345318;1,78E-06
0,821939;0,05371557;7,32E-07
0,6953372;0,0345318;4,18E-06
0,1729796;0,000195383;9,55E-06
0,821939;9,59E-05;4,18E-06
0,6953372;0,000195383;7,32E-07
0,821939;0,000195383;4,18E-06
0,821939;0,000387148;2,12E-05
0,821939;0,000387148;9,55E-06
0,6953372;9,59E-05;1,78E-06
0,6953372;0,000195383;1,78E-06
0,821939;0,000387148;1,78E-06
0,1202207;0,000195383;9,55E-06
0,4382623;0,00139901;2,12E-05
0,2424351;0,00139901;1,78E-06
0,821939;0,000195383;1,78E-06
0,6953372;0,000195383;1,78E-06
0,4382623;0,02162603;1,78E-06
0,6953372;0,05371557;1,78E-06
0,5624609;0,0814096;7,32E-07
0,821939;0,05371557;1,78E-06
0,4382623;0,1202207;2,12E-05
0,821939;0,05371557;7,32E-07
0,3306962;0,01319189;1,78E-06
0,1202207;0,0345318;1,78E-06
0,6953372;0,1202207;4,18E-06
0,5624609;0,0814096;1,78E-06
0,821939;0,05371557;7,32E-07
0,6953372;0,0345318;2,12E-05
0,0814096;0,05371557;0,007836765
0,821939;0,05371557;0,007836765
0,6953372;0,0345318;0,00139901
0,4382623;0,05371557;0,000746139
0,821939;0,05371557;0,00255258
0,2424351;0,05371557;0,000746139
0,1729796;0,05371557;0,00139901
0,4382623;0,0814096;0,00255258
0,821939;0,0814096;0,004533031
0,1202207;0,05371557;0,004533031
0,6953372;0,05371557;0,004533031
0,5624609;0,1202207;0,000746139
0,4382623;0,05371557;0,000387148
0,3306962;0,05371557;0,007836765
0,3306962;0,05371557;0,007836765
0,6953372;0,05371557;0,007836765
0,1202207;0,0814096;0,00139901
0,4382623;0,0345318;0,000387148
0,1202207;0,05371557;0,000746139
0,4382623;0,1202207;0,007836765
0,3306962;0,01319189;0,000746139
0,1202207;0,1202207;0,05371557
0,4382623;0,0814096;0,007836765
0,0814096;0,1202207;0,007836765
0,4382623;0,0814096;0,00139901
0,0814096;0,05371557;0,01319189
0,1202207;0,0814096;0,007836765
0,2424351;0,0814096;0,000746139
0,1729796;0,0345318;0,004533031
0,2424351;0,0814096;0,00255258
0,4382623;;0,004533031
0,1729796;;0,000746139
0,1202207;;0,00255258
0,4382623;;0,004533031
0,1729796;;0,007836765
0,4382623;;0,05371557
0,1202207;;0,004533031
0,4382623;;0,004533031
0,1729796;;0,00139901
0,4382623;;0,000746139
0,2424351;;0,000746139
0,4382623;;0,00139901
0,1729796;;0,004533031
0,3306962;;0,007836765
0,4382623;;0,05371557
0,4382623;;0,004533031
0,1729796;;0,01319189
0,05371557;;0,004533031
0,0814096;;0,007836765
0,0814096;;0,000387148
0,1202207;;0,004533031
0,3306962;;0,004533031
0,2424351;;0,00139901
0,0814096;;0,00139901
0,1202207;;0,00255258
0,1202207;;0,00255258
0,4382623;;0,000387148
0,1202207;;0,000387148
0,0814096;;0,000746139
0,2424351;;0,00139901
0,0814096;;0,00255258
0,4382623;;0,00139901
0,4382623;;0,004533031
0,3306962;;0,000387148
0,4382623;;0,00139901
0,1729796;;0,000746139
0,2424351;;0,004533031
0,2424351;;0,00139901
0,1202207;;0,007836765
0,6953372;;0,000387148
0,1202207;;0,004533031
0,05371557;;0,00255258
0,5624609;;0,00139901
0,007836765;;0,00139901
0,007836765;;
0,3306962;;
0,01319189;;
0,3306962;;
0,0345318;;
0,1729796;;
0,0814096;;
0,4382623;;
0,2424351;;
0,2424351;;
0,007836765;;
0,1202207;;
0,0814096;;
0,3306962;;
0,2424351;;
0,2424351;;
0,3306962;;
0,02162603;;
0,1729796;;
0,007836765;;
0,6953372;;
0,0814096;;
0,1729796;;
0,1729796;;
0,1729796;;
0,5624609;;
0,4382623;;
0,0814096;;
0,2424351;;
0,01319189;;
0,1202207;;
0,4382623;;
0,02162603;;
0,0814096;;
0,2424351;;
0,1202207;;
0,4382623;;
0,4382623;;
0,5624609;;
0,2424351;;
0,3306962;;
0,4382623;;
0,1729796;;
0,5624609;;
0,1729796;;
0,5624609;;
0,4382623;;
0,1729796;;
0,6953372;;
0,6953372;;
0,2424351;;
0,3306962;;
0,6953372;;
0,2424351;;
0,3306962;;
0,5624609;;
0,6953372;;
0,3306962;;
0,2424351;;
0,6953372;;
0,5624609;;
0,5624609;;
0,6953372;;
0,5624609;;
0,3306962;;
0,2424351;;
0,6953372;;
0,4382623;;
0,4382623;;
0,6953372;;
0,1729796;;
0,5624609;;
0,5624609;;
0,6953372;;
0,4382623;;
0,2424351;;
0,5624609;;
0,6953372;;
0,6953372;;
0,5624609;;
0,3306962;;
0,4382623;;
0,6953372;;
0,4382623;;
0,6953372;;
0,3306962;;
0,6953372;;
0,5624609;;
0,6953372;;
0,5624609;;
0,6953372;;
0,4382623;;
0,5624609;;
0,6953372;;
0,4382623;;
0,3306962;;
0,4382623;;
0,05371557;;
0,01319189;;
0,000387148;;
0,00139901;;
0,0345318;;
0,01319189;;
0,00139901;;
0,4382623;;
0,4382623;;
0,00255258;;
0,2424351;;
0,02162603;;
0,02162603;;
0,3306962;;
0,000746139;;
0,00255258;;
0,05371557;;
0,3306962;;
0,1202207;;
0,3306962;;
0,3306962;;
0,4382623;;
0,01319189;;
0,1202207;;
0,3306962;;
0,02162603;;
0,4382623;;
0,01319189;;
0,0814096;;
0,004533031;;
0,0814096;;
0,02162603;;
0,3306962;;
0,1202207;;
0,05371557;;
0,0345318;;
0,2424351;;
0,00139901;;
0,02162603;;
0,1202207;;
0,4382623;;
0,004533031;;
0,1729796;;
0,02162603;;
0,02162603;;
0,0814096;;
0,2424351;;
0,4382623;;
0,1202207;;
0,05371557;;
0,3306962;;
0,1729796;;
0,3306962;;
0,4382623;;
0,3306962;;
0,1202207;;
0,0814096;;
0,3306962;;
0,0814096;;
0,1202207;;
0,2424351;;
0,3306962;;
0,1202207;;
0,1729796;;
0,2424351;;
0,2424351;;
0,2424351;;
0,1202207;;
0,1202207;;
0,1729796;;
0,2424351;;
0,3306962;;
0,1729796;;
0,4382623;;
0,1202207;;
0,3306962;;
0,0814096;;
0,2424351;;
0,3306962;;
0,2424351;;
0,2424351;;
0,1202207;;
0,3306962;;
0,3306962;;
0,3306962;;
0,2424351;;
0,2424351;;
0,1202207;;
0,1202207;;
0,3306962;;
0,2424351;;
0,4382623;;
0,2424351;;
0,3306962;;
0,3306962;;
0,1202207;;
0,2424351;;
0,1729796;;
