CmV;Chi;Euc
0,6953372;0,9219575;0,5624609
0,9219575;0,4382623;0,6953372
1;0,3306962;0,4382623
0,9793613;0,9219575;0,821939
0,9979305;0,9979305;0,9793613
0,9793613;0,1729796;0,2424351
0,999975;0,3306962;0,821939
0,999975;0,9793613;0,2424351
1;0,9979305;0,9793613
0,5624609;0,1202207;0,9979305
0,999975;0,999975;0,9793613
0,1202207;0,05371557;0,2424351
0,999975;0,1729796;0,9219575
0,821939;0,2424351;0,4382623
1;0,6953372;0,3306962
0,5624609;0,0814096;0,821939
0,9219575;0,1202207;0,6953372
0,999975;0,5624609;0,5624609
0,999975;0,9979305;0,6953372
0,1202207;0,3306962;0,6953372
0,9979305;0,5624609;0,6953372
0,999975;0,821939;0,3306962
0,9979305;0,1202207;0,2424351
0,9219575;0,5624609;0,6953372
0,9219575;0,1729796;0,5624609
0,9979305;0,5624609;0,6953372
0,999975;0,3306962;0,5624609
0,2424351;0,999975;0,3306962
0,2424351;0,1729796;0,2424351
0,9979305;0,5624609;0,3306962
1;0,1729796;0,5624609
0,999975;0,5624609;0,4382623
0,9793613;0,2424351;0,5624609
1;0,05371557;0,821939
0,821939;0,05371557;0,6953372
0,9793613;0,821939;0,5624609
0,2424351;0,4382623;0,3306962
0,4382623;0,6953372;0,6953372
0,9979305;0,05371557;0,5624609
0,9793613;0,6953372;0,5624609
0,3306962;0,9979305;0,2424351
0,999975;0,3306962;0,2424351
0,999975;0,821939;0,821939
0,1202207;0,1729796;0,4382623
0,999975;0,5624609;0,2424351
1;0,1202207;0,5624609
0,6953372;0,1202207;0,2424351
0,3306962;0,5624609;0,5624609
0,4382623;0,0814096;0,2424351
0,999975;0,4382623;0,6953372
0,821939;0,999975;0,5624609
0,6953372;0,5624609;0,3306962
0,9793613;0,1729796;0,3306962
0,5624609;0,0814096;0,6953372
0,6953372;0,4382623;0,6953372
0,3306962;0,05371557;0,6953372
0,999975;0,05371557;0,3306962
0,9979305;0,3306962;0,6953372
1;0,9793613;0,6953372
0,9979305;0,1729796;0,3306962
0,5624609;0,2424351;0,3306962
0,999975;0,5624609;0,3306962
0,821939;0,9793613;0,5624609
1;0,3306962;0,6953372
0,4382623;0,821939;0,6953372
0,999975;0,1202207;0,3306962
1;0,9219575;0,4382623
